Date,Max Temp  (deg C),Min Temp (deg C),Mean Temp (deg C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
1/1/2012,5.5,-2,1.8,1.2,0,1.2,5
1/2/2012,2,-3.5,-0.8,0,0,0,0
1/3/2012,-14.5,-16,-15.3,0,0,0,0
1/4/2012,-6,-18.5,-12.3,0,2.2,2.2,0
1/5/2012,-4,-10.5,-7.3,0,1.6,1.6,4
1/6/2012,-6.5,-12.5,-9.5,0,0.3,0.3,5
1/7/2012,1,-10,-4.5,0,0.8,,5
1/8/2012,-5.5,-7.5,-6.5,0,0,0,5
1/9/2012,3,-9,-3,,0,,5
1/10/2012,3,-4.5,-0.8,0,0,0,4
1/11/2012,-7,-14,-10.5,0,0,0,3
1/12/2012,-4.5,-12,-8.3,,14,,3
1/13/2012,-1,-5.5,-3.3,,5,,15
1/14/2012,,-18,,0,0,0,20
1/15/2012,-15.5,-24,-19.8,0,0,0,19
1/16/2012,-7,-21.5,-14.3,0,1.4,1.4,18
1/17/2012,4.5,-15,-5.3,,4.6,,20
1/18/2012,-9.5,-12,-10.8,0,0,0,23
1/19/2012,-3,-20.5,-11.8,0,0.4,0.4,22
1/20/2012,-11,-15.5,-13.3,0,0,0,22
1/21/2012,-10.5,-19,-14.8,0,0,0,22
1/22/2012,-7,-20.5,-13.8,0,0,0,
1/23/2012,5.5,-13.5,-4,,0,,22
1/24/2012,3.5,1,2.3,0.2,0,0.2,12
1/25/2012,-4,-5,-4.5,0,0,0,12
1/26/2012,-0.5,-12,-6.3,0,2.4,,12
1/27/2012,0.5,,,,2.4,,12
1/28/2012,2.5,-2.5,0,0,0,0,14
1/29/2012,,,,0,0,0,14
1/30/2012,-6.5,-10,-8.3,0,1,1,14
1/31/2012,-5,-11,-8,0,7.6,,15
2/1/2012,-3.5,-8,-5.8,0,0.4,0.4,20
2/2/2012,-5,-7.5,-6.3,0,0,0,21
2/3/2012,-3,-14,-8.5,0,0,0,20
2/4/2012,,-10.5,,0,0,0,20
2/5/2012,1.5,-17.5,-8,0,0,0,19
2/6/2012,4,-4,0,0,0,0,19
2/7/2012,-4.5,-7,-5.8,0,0,0,19
2/8/2012,-1,-15,-8,0,0,0,19
2/9/2012,3,-5.5,-1.3,0,0,0,18
2/10/2012,1.5,-1,0.3,0,1.6,1.6,18
2/11/2012,-8.5,-13,-10.8,0,0,0,20
2/12/2012,-7.5,-17,-12.3,0,0,0,20
2/13/2012,-3,-12,-7.5,0,0,0,19
2/14/2012,3,-15.5,-6.3,0,0.5,0.5,18
2/15/2012,2,-2.5,-0.3,0.8,0,0.8,18
2/16/2012,6.5,1,3.8,3.9,0,3.9,16
2/17/2012,4,2,3,0,0,0,12
2/18/2012,2,-1.5,0.3,0,0,0,12
2/19/2012,-1.5,-7,-4.3,0,0,0,12
2/20/2012,-1,-11,-6,0,0,0,12
2/21/2012,3,-9.5,-3.3,,0,,11
2/22/2012,6.5,-1.5,2.5,1.6,0,1.6,10
2/23/2012,2.5,0,1.3,0,0,0,7
2/24/2012,1.5,-4,-1.3,0,9.4,9.4,7
2/25/2012,-1,-3.5,-2.3,0,1.4,1.4,16
2/26/2012,-6.5,-11.5,-9,0,0,0,15
