Date,Berri1,Rachel / Papineau,Maisonneuve_2,Maisonneuve_1,Brébeuf,Parc,PierDup,CSC (Côte Sainte-Catherine),Pont_Jacques_Cartier
1/1/2012,35,16,51,38,5,26,10,0,27
2/1/2012,83,43,153,68,11,53,6,1,21
3/1/2012,135,58,248,104,2,89,3,2,15
4/1/2012,144,61,318,116,2,111,8,1,19
5/1/2012,197,95,330,124,6,97,13,2,16
6/1/2012,146,75,244,98,4,86,4,0,17
7/1/2012,98,54,108,80,5,53,6,2,9
8/1/2012,95,63,98,62,13,64,11,1,23
9/1/2012,244,173,432,165,9,198,12,2,23
10/1/2012,397,241,563,238,6,275,18,3,46
11/1/2012,273,194,443,182,7,258,12,0,20
12/1/2012,157,63,261,134,3,137,9,1,15
13/01/2012,75,0,105,41,4,64,2,0,1
14/01/2012,32,1,56,54,0,19,0,0,3
15/01/2012,54,0,60,33,0,18,0,0,2
16/01/2012,168,0,312,136,8,137,1,2,1
17/01/2012,155,0,256,86,4,74,0,0,1
18/01/2012,139,0,188,66,2,68,3,0,20
19/01/2012,191,0,248,104,46,79,3,1,5
20/01/2012,161,1,217,96,4,67,1,4,13
21/01/2012,53,0,70,47,11,32,1,0,5
22/01/2012,71,0,73,41,20,35,5,0,29
23/01/2012,210,0,357,114,22,91,6,6,37
24/01/2012,299,0,444,189,9,174,4,1,20
25/01/2012,334,0,453,217,16,180,4,1,28
26/01/2012,306,1,495,215,3,191,0,0,21
27/01/2012,91,0,204,79,11,65,0,5,186
28/01/2012,80,1,123,61,3,33,9,1,34
29/01/2012,87,0,132,65,6,40,7,1,20
30/01/2012,219,0,371,146,6,152,2,0,38
31/01/2012,186,0,324,109,7,122,0,1,4
1/2/2012,138,0,271,100,10,71,5,0,4
2/2/2012,217,2,345,134,7,128,2,5,4
3/2/2012,174,1,301,103,2,111,1,1,8
4/2/2012,84,0,119,53,16,44,8,0,59
5/2/2012,72,0,133,46,11,54,7,0,58
6/2/2012,248,0,425,136,5,167,10,1,19
7/2/2012,316,0,516,209,12,225,9,0,22
8/2/2012,271,1,503,202,6,215,4,0,27
9/2/2012,342,0,471,227,6,231,11,0,24
10/2/2012,303,2,478,206,13,216,6,1,10
11/2/2012,71,0,112,63,12,49,3,0,22
12/2/2012,78,0,91,36,4,53,5,0,7
13/02/2012,211,0,408,175,13,207,4,0,3
14/02/2012,318,1,504,186,6,243,9,0,11
15/02/2012,307,1,491,180,8,232,5,0,26
16/02/2012,386,0,569,212,3,295,10,1,16
17/02/2012,332,1,496,237,15,260,11,3,6
18/02/2012,220,0,280,159,7,134,30,1,68
19/02/2012,169,2,205,110,7,113,13,3,38
20/02/2012,303,10,470,224,17,243,14,2,30
21/02/2012,441,6,503,292,12,286,10,5,10
22/02/2012,375,3,501,263,7,264,12,10,29
23/02/2012,397,13,528,293,12,329,22,10,21
24/02/2012,243,13,313,187,13,137,4,4,25
25/02/2012,62,5,52,48,1,18,2,0,2
26/02/2012,78,0,47,76,2,35,4,0,14
27/02/2012,119,5,298,94,9,134,3,4,8
28/02/2012,195,3,350,158,22,168,9,0,12
29/02/2012,242,4,446,164,15,190,7,0,11
1/3/2012,92,14,199,56,46,63,0,0,14
2/3/2012,143,1,283,56,31,77,7,0,2
3/3/2012,82,0,133,65,2,47,2,0,12
4/3/2012,107,0,138,79,0,60,15,2,6
5/3/2012,155,2,363,114,88,157,8,1,6
6/3/2012,269,0,437,192,4,170,10,0,11
7/3/2012,438,0,715,290,7,266,28,3,35
8/3/2012,348,9,530,238,2,270,9,6,34
9/3/2012,371,38,575,279,9,268,8,8,23
10/3/2012,182,58,296,162,16,165,0,13,89
11/3/2012,380,285,540,253,12,289,0,60,163
12/3/2012,802,548,1265,618,12,747,0,179,145
13/03/2012,442,325,769,321,9,425,0,145,72
14/03/2012,469,336,739,313,11,451,0,146,96
15/03/2012,724,565,1021,562,10,631,63,244,427
16/03/2012,423,422,695,305,16,419,9,149,234
17/03/2012,681,1008,872,422,13,468,334,287,637
18/03/2012,1940,2477,1923,1036,162,1021,1128,856,2392
19/03/2012,1821,2058,2581,1278,104,1609,506,1024,1593
20/03/2012,2481,2609,3130,1709,243,1955,762,1261,1569
21/03/2012,2829,2846,3510,1893,283,2225,993,1558,1834
22/03/2012,2195,2254,2654,1640,150,1958,548,1030,1360
23/03/2012,2115,2325,2955,1512,125,1791,663,1143,1270
24/03/2012,753,1035,1001,517,54,635,277,336,481
